title,date,public,duration,note,synopsis,genre,actors,Origin language,Origin country,Origin title,number saison,number episode
Peaky Blinders,2013– ,10,"1, ,hour",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime,Drama","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy","English,Romanian,Irish Gaelic,Italian,Yiddish",United Kingdom,,6 seasons,36
Better Call Saul,2015–2022,Tous publics avec avertissement,"46, ,minutes",8.8,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime,Drama","Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Kerry Condon,Mark Margolis,Cara Pifko,Jeremiah Bitsui,Dennis Boutsikaris,Rex Linn,Josh Fadem,Julian Bonfiglio,Ray Campbell,John Christian Love","English,Spanish,Vietnamese",United States,,6 seasons,63
The Mandalorian,2019– ,12,"40, ,minutes",8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Action,Adventure,Fantasy,Sci-Fi","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert",English,United States,,3 seasons,24
Chappelle's Show,2003–2006,TV-MA,"22, ,minutes",8.7,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Comedy,Music","Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Díaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",English,United States,,3 seasons,33
À la Maison Blanche,1999–2006,Tous publics,"44, ,minutes",8.8,Inside the lives of staffers in the West Wing of the White House.,Drama,"Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",English,United States,Original title: The West Wing,7 seasons,155
Ted Lasso,2020– ,Tous publics,"30, ,minutes",8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Comedy,Drama,Sport","Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry",English,"United States,United Kingdom",,3 seasons,23
Philadelphia,2005– ,10,"22, ,minutes",8.8,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Comedy,"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,David Zdunich,Sandy Martin,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",English,United States,Original title: It's Always Sunny in Philadelphia,15 seasons,162
Blackadder Goes Forth,1989,TV-PG,"2, ,hours, ,55, ,minutes",8.8,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Comedy,War","Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Jeremy Hardy,Rik Mayall,Geoffrey Palmer,Miranda Richardson,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook",English,United Kingdom,,,6
Narcos,2015–2017,12,"49, ,minutes",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography,Crime,Drama,Thriller","Pedro Pascal,Lizbeth Eden,Wagner Moura,Boyd Holbrook,Alberto Ammann,Muratcan Savci,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie","English,Spanish","United States,Colombia,Mexico",,3 seasons,30
L'hôtel en folie,1975–1979,TV-PG,"30, ,minutes",8.7,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Comedy,"John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Bruce Boa,Ken Campbell,Nicky Henson,Geoffrey Palmer","English,Spanish",United Kingdom,Original title: Fawlty Towers,2 seasons,12
