title,date,public,duration,note,synopsis,genre,actors,Origin language,Origin country,Origin title,number saison,number episode
Rick et Morty,2013– ,12,"23, ,minutes",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Animation,Adventure,Comedy,Sci-Fi","Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Dan Harmon,Maurice LaMarche,Tom Kenny,Brandon Johnson,Ryan Ridley,Nolan North,Cassie Steele,Phil Hendrie,Echo Kellum,Keith David,Rob Schrab,Rob Paulsen,Tara Strong",English,United States,Original title: Rick and Morty,6 seasons,52
The World at War,1973–1974,TV-PG,"52, ,minutes",9.2,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Documentary,History,War","Laurence Olivier,Albert Speer,Averell Harriman,Anthony Eden,Siegfried Westphal,Lawrence Durrell,Toshikazu Kase,J. Lawton Collins,Louis Mountbatten,Wynford Vaughan-Thomas,J.B. Priestley,Adolf Galland,Christabel Bielenberg,John J. McCloy,Hasso von Manteuffel,Emmi Bonhoeffer,R.A. Butler,J.G. Smyth","English,German,French,Japanese",United Kingdom,,,26
La quatrième dimension,1959–1964,Tous publics,"51, ,minutes",9.0,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,David Armstrong,James Turley,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",,United States,Original title: The Twilight Zone,5 seasons,156
Arcane,2021– ,16,"41, ,minutes",9.4,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Animation,Action,Adventure,Drama,Fantasy,Sci-Fi","Kevin Alejandro,Jason Spisak,Hailee Steinfeld,Harry Lloyd,Toks Olagundoye,JB Blanc,Remy Hii,Dave B. Mitchell,Amirah Vann,Mia Sinclair Jenness,Katie Leung,Josh Keaton,Ella Purnell,Mick Wingert,Erica Lindbeck,Yuri Lowenthal,Abigail Marlowe,Reed Shannon",English,"United States,France",Original title: Arcane: League of Legends,2 seasons,10
Cosmos,1980,TV-PG,"13, ,hours",9.3,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Documentary,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Alan Belod,Jean Charney,Bill Grant,Bob Hevelone,Ronald A. Hilbert,Victor C. John,Arthur 'Lonne' Lane,Linda Morabito,Larry Soderblom,Cecilia White,Dana Hlavácová,Josef Vinklár",,"United States,United Kingdom",,,13
Notre planète,2019,7,"6, ,hours, ,43, ,minutes",9.3,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and di..., ",Documentary,David Attenborough,English,"United States,United Kingdom",Original title: Our Planet,,8
"Avatar, le dernier maître de l'air",2005–2008,T,"23, ,minutes",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Animation,Action,Adventure,Family,Fantasy,Mystery","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",English,United States,Original title: Avatar: The Last Airbender,3 seasons,62
Sherlock,2010–2017,Tous publics,"1, ,hour, ,28, ,minutes",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Crime,Drama,Mystery,Thriller","Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Lindsay Duncan,Yasmine Akram,Sian Brooke,Tanya Moodie,Simon Kunz,Wanda Ventham,Timothy Carlton,Lisa McAllister",English,"United Kingdom,United States",,4 seasons,15
Cosmos: Une odyssée à travers l'univers,2014,Tous publics,"9, ,hours, ,17, ,minutes",9.3,An exploration of our discovery of the laws of nature and coordinates in space and time.,Documentary,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Kirsten Dunst,Amanda Seyfried,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",English,United States,Original title: Cosmos: A Spacetime Odyssey,,13
Blue Planet II,2017,TV-G,"6, ,hours, ,4, ,minutes",9.3,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans fa..., ",Documentary,"David Attenborough,Peter Drost,Roger Horrocks,Roger Munns",English,United Kingdom,,,7
Breaking Bad,2008–2013,Tous publics,"49, ,minutes",9.4,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Crime,Drama,Thriller","Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell","English,Spanish",United States,,5 seasons,62
Chernobyl,2019,12,"5, ,hours, ,30, ,minutes",9.4,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Drama,History,Thriller","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Alan Williams,Adrian Rawlins,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik","English,Russian,Ukrainian","United States,United Kingdom",,,5
Frères d'armes,2001,Tous publics,"9, ,hours, ,54, ,minutes",9.4,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama,History,War","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing","English,Dutch,French,German,Lithuanian","United States,United Kingdom",Original title: Band of Brothers,,10
Les Soprano,1999–2007,Tous publics,"55, ,minutes",9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli..., ","Crime,Drama","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent","English,Italian,Russian",United States,Original title: The Sopranos,6 seasons,86
Planète Terre,2006,Tous publics,"8, ,hours, ,58, ,minutes",9.4,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",Documentary,"David Attenborough,Sigourney Weaver,Nikolay Drozdov,Thomas Anguti Johnston,Huw Cordey,Doug Allan,Mark Linfield,Doug Anderson,Tom Clarke,Dany Cleyet-Marrel,Justine Evans,Mike Holding,Chadden Hunter,Choi Jen,Tania Jenkins,Jonathan Keeling,Michael Kelem,Simon King",English,United Kingdom,Original title: Planet Earth,,11
Game of Thrones,2011–2019,12,"57, ,minutes",9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Action,Adventure,Drama,Fantasy","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",English,"United States,United Kingdom",,8 seasons,73
Sur écoute,2002–2008,Tous publics,"59, ,minutes",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Crime,Drama,Thriller","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba","English,Greek,Mandarin,Spanish",United States,Original title: The Wire,5 seasons,60
